OrderNumber,OrderDate,WarehouseCode,Sales Channel,StoreID,SalesTeamID,CustomerID,ProductID,Order_Quantity,Discount_Applied,Unit_Price,Unit_Cost
SO - 0001885,12/27/2018,WARE-NMK1003,2,90,18,11,31,5,0.1,3899.40,3275.50
SO - 0001886,12/27/2018,WARE-NBV1002,2,83,18,4,43,5,0.075,1005.00,653.25
SO - 0001887,12/27/2018,WARE-XYS1001,2,27,14,19,2,5,0.05,1775.50,1349.38
SO - 0001888,12/27/2018,WARE-UHY1004,2,221,18,39,36,6,0.15,1125.60,855.46
SO - 0001889,12/28/2018,WARE-NMK1003,2,184,17,49,11,2,0.05,1098.80,747.18
SO - 0001890,12/28/2018,WARE-NMK1003,4,109,28,33,47,5,0.05,1936.30,1490.95
SO - 0001891,12/28/2018,WARE-UHY1004,3,223,24,24,25,3,0.075,3926.20,2669.82
SO - 0001892,12/28/2018,WARE-XYS1001,1,6,11,14,8,7,0.075,3155.70,2240.55
SO - 0001893,12/28/2018,WARE-NMK1003,4,167,26,12,20,8,0.075,3999.90,1679.96
SO - 0001894,12/28/2018,WARE-XYS1001,2,31,18,37,19,2,0.075,1092.10,666.18
SO - 0001895,12/29/2018,WARE-NMK1003,2,199,18,38,37,4,0.15,1005.00,442.20
SO - 0001896,12/29/2018,WARE-UHY1004,1,213,11,9,19,3,0.05,254.60,134.94
SO - 0001897,12/29/2018,WARE-MKL1006,1,336,6,36,5,2,0.05,897.80,520.72
SO - 0001898,12/29/2018,WARE-NMK1003,1,179,3,8,23,4,0.05,1748.70,821.89
SO - 0001899,12/29/2018,WARE-NMK1003,1,89,12,14,20,4,0.075,1105.50,442.20
SO - 0001900,12/29/2018,WARE-MKL1006,3,367,25,25,47,6,0.1,5842.40,4323.38
SO - 0001901,12/29/2018,WARE-NMK1003,2,123,17,16,46,7,0.075,1179.20,754.69
SO - 0001902,12/29/2018,WARE-NMK1003,2,166,19,45,8,4,0.2,2579.50,1496.11
SO - 0001903,12/29/2018,WARE-MKL1006,2,341,16,34,25,3,0.075,924.60,656.47
SO - 0001904,12/29/2018,WARE-NMK1003,3,162,22,33,18,3,0.075,3979.80,2905.25
SO - 0001905,12/29/2018,WARE-PUJ1005,1,282,3,43,47,4,0.05,2626.40,2101.12
SO - 0001906,12/29/2018,WARE-XYS1001,4,46,27,17,37,3,0.075,1293.10,1021.55
SO - 0001907,12/29/2018,WARE-NBV1002,3,86,25,18,46,8,0.1,1132.30,962.46
SO - 0001908,12/29/2018,WARE-PUJ1005,3,295,22,44,21,2,0.1,670.00,321.60
SO - 0001909,12/30/2018,WARE-XYS1001,1,30,11,42,43,7,0.1,6539.20,4708.22
SO - 0001910,12/30/2018,WARE-NBV1002,1,83,8,42,4,1,0.1,3256.20,2637.52
SO - 0001911,12/30/2018,WARE-XYS1001,2,19,13,43,15,1,0.1,2579.50,1625.09
SO - 0001912,12/30/2018,WARE-NBV1002,2,87,20,36,5,8,0.05,3852.50,2966.43
SO - 0001913,12/30/2018,WARE-NMK1003,4,145,27,26,11,8,0.15,924.60,527.02
SO - 0001914,12/30/2018,WARE-UHY1004,4,260,26,20,27,3,0.05,3906.10,2421.78
SO - 0001915,12/30/2018,WARE-UHY1004,3,218,23,33,35,1,0.1,254.60,129.85
SO - 0001916,12/30/2018,WARE-MKL1006,4,330,28,6,15,2,0.075,1072.00,589.60
SO - 0001917,12/30/2018,WARE-PUJ1005,1,291,5,12,16,2,0.15,2653.20,1061.28
SO - 0001918,12/30/2018,WARE-UHY1004,1,232,5,39,9,6,0.075,3564.40,1817.84
SO - 0001919,12/30/2018,WARE-PUJ1005,1,271,10,4,17,8,0.4,1078.70,517.78
SO - 0001920,12/30/2018,WARE-MKL1006,2,358,17,19,15,4,0.05,6224.30,3112.15
SO - 0001921,12/30/2018,WARE-NMK1003,4,99,28,2,42,6,0.1,1326.60,822.49
SO - 0001922,12/30/2018,WARE-NMK1003,4,115,26,36,47,8,0.1,221.10,159.19
SO - 0001923,12/30/2018,WARE-UHY1004,3,219,24,25,35,8,0.05,6344.90,3806.94
SO - 0001924,12/31/2018,WARE-MKL1006,1,349,4,36,2,2,0.15,1132.30,815.26
SO - 0001925,12/31/2018,WARE-MKL1006,2,348,16,23,22,4,0.05,757.10,446.69
SO - 0001926,12/31/2018,WARE-PUJ1005,1,262,5,21,17,6,0.1,1038.50,882.73
SO - 0001927,12/31/2018,WARE-NMK1003,2,125,16,40,29,6,0.05,958.10,603.60
SO - 0001928,12/31/2018,WARE-XYS1001,4,44,27,39,36,1,0.1,1855.90,1521.84
SO - 0001929,12/31/2018,WARE-NMK1003,1,187,10,29,21,2,0.15,2646.50,1879.02
SO - 0001930,12/31/2018,WARE-XYS1001,1,32,3,19,10,3,0.15,5453.80,3654.05
SO - 0001931,12/31/2018,WARE-NMK1003,1,104,5,5,45,4,0.075,1782.20,1301.01
SO - 0001932,12/31/2018,WARE-NMK1003,1,126,3,29,9,4,0.05,1051.90,631.14
SO - 0001933,12/31/2018,WARE-MKL1006,1,338,9,22,5,5,0.2,254.60,216.41
SO - 0001934,12/31/2018,WARE-PUJ1005,1,315,9,19,33,2,0.075,2860.90,1745.15
SO - 0001935,12/31/2018,WARE-NBV1002,1,78,8,32,10,8,0.1,2887.70,1212.83
SO - 0001936,12/31/2018,WARE-XYS1001,3,30,21,31,24,8,0.05,1085.40,857.47
SO - 0001937,1/1/2019,WARE-NMK1003,2,136,16,27,7,7,0.05,1031.80,773.85
SO - 0001938,1/1/2019,WARE-PUJ1005,1,282,5,35,44,8,0.075,1172.50,644.88
SO - 0001939,1/1/2019,WARE-MKL1006,1,353,2,4,39,4,0.075,2010.00,924.60
SO - 0001940,1/1/2019,WARE-UHY1004,2,238,16,16,45,8,0.075,5279.60,4118.09
SO - 0001941,1/1/2019,WARE-NMK1003,4,175,28,34,6,7,0.15,1038.50,581.56
SO - 0001942,1/1/2019,WARE-NMK1003,2,99,18,37,6,2,0.05,2860.90,1487.67
SO - 0001943,1/1/2019,WARE-NMK1003,1,88,1,42,47,2,0.3,978.20,626.05
SO - 0001944,1/1/2019,WARE-PUJ1005,4,268,26,32,23,3,0.05,3718.50,1970.81
SO - 0001945,1/1/2019,WARE-PUJ1005,1,274,7,4,28,2,0.1,5480.60,3014.33
SO - 0001946,1/1/2019,WARE-NBV1002,1,59,1,34,41,3,0.1,797.30,518.25
SO - 0001947,1/1/2019,WARE-UHY1004,1,259,11,46,35,2,0.05,247.90,123.95
SO - 0001948,1/1/2019,WARE-XYS1001,2,55,14,49,33,4,0.075,1165.80,897.67
SO - 0001949,1/1/2019,WARE-NMK1003,1,100,6,32,46,8,0.2,6425.30,3212.65
SO - 0001950,1/1/2019,WARE-NMK1003,2,177,14,28,36,7,0.075,1293.10,956.89
SO - 0001951,1/1/2019,WARE-NMK1003,1,113,4,38,2,1,0.15,6197.50,3594.55
SO - 0001952,1/2/2019,WARE-PUJ1005,1,325,1,12,4,3,0.3,5869.20,3462.83
SO - 0001953,1/2/2019,WARE-UHY1004,1,250,10,31,10,8,0.075,1098.80,593.35
SO - 0001954,1/2/2019,WARE-UHY1004,1,240,6,25,10,2,0.15,1072.00,889.76
SO - 0001955,1/2/2019,WARE-PUJ1005,1,313,1,26,24,1,0.1,6532.50,3984.83
SO - 0001956,1/2/2019,WARE-NMK1003,2,123,15,19,20,3,0.075,3946.30,2367.78
SO - 0001957,1/2/2019,WARE-NMK1003,2,128,13,17,9,8,0.3,1031.80,835.76
SO - 0001958,1/2/2019,WARE-PUJ1005,1,317,6,15,25,4,0.3,5172.40,3258.61
SO - 0001959,1/2/2019,WARE-PUJ1005,1,305,7,23,3,4,0.05,2512.50,1306.50
SO - 0001960,1/2/2019,WARE-PUJ1005,2,303,15,42,26,7,0.05,2639.80,2032.65
SO - 0001961,1/3/2019,WARE-PUJ1005,3,311,23,19,36,1,0.05,1051.90,662.70
SO - 0001962,1/3/2019,WARE-PUJ1005,1,262,9,5,10,1,0.05,1051.90,757.37
SO - 0001963,1/3/2019,WARE-NMK1003,2,186,17,33,44,7,0.05,2003.30,1482.44
SO - 0001964,1/3/2019,WARE-NMK1003,2,142,19,33,12,4,0.05,837.50,502.50
SO - 0001965,1/3/2019,WARE-UHY1004,1,237,9,40,41,5,0.05,5815.60,4303.54
SO - 0001966,1/3/2019,WARE-XYS1001,1,38,12,23,29,7,0.05,1172.50,973.18
SO - 0001967,1/3/2019,WARE-NBV1002,3,85,24,3,1,6,0.2,1118.90,716.10
SO - 0001968,1/3/2019,WARE-PUJ1005,2,283,14,23,24,8,0.15,3845.80,3230.47
SO - 0001969,1/3/2019,WARE-XYS1001,1,24,2,40,40,3,0.075,2586.20,1034.48
SO - 0001970,1/3/2019,WARE-NMK1003,2,139,20,29,30,7,0.1,5165.70,2066.28
SO - 0001971,1/3/2019,WARE-XYS1001,2,13,17,26,13,3,0.05,3155.70,1262.28
SO - 0001972,1/4/2019,WARE-UHY1004,2,258,17,43,44,8,0.2,2304.80,1613.36
SO - 0001973,1/4/2019,WARE-NMK1003,1,178,3,26,8,3,0.05,3839.10,2802.54
SO - 0001974,1/4/2019,WARE-PUJ1005,2,265,19,44,45,2,0.4,1005.00,723.60
SO - 0001975,1/4/2019,WARE-NMK1003,3,165,22,19,27,6,0.075,2525.90,1768.13
SO - 0001976,1/4/2019,WARE-NMK1003,4,149,27,8,24,6,0.05,1922.90,1365.26
SO - 0001977,1/4/2019,WARE-PUJ1005,1,292,12,6,16,1,0.05,6371.70,4587.62
SO - 0001978,1/4/2019,WARE-PUJ1005,3,285,23,36,12,2,0.4,3986.50,2670.96
SO - 0001979,1/4/2019,WARE-UHY1004,1,212,6,7,33,8,0.075,1835.80,1193.27
SO - 0001980,1/4/2019,WARE-NMK1003,1,137,11,12,20,1,0.2,871.00,574.86
SO - 0001981,1/4/2019,WARE-XYS1001,1,33,8,5,43,6,0.075,3731.90,2910.88
SO - 0001982,1/4/2019,WARE-UHY1004,4,208,28,22,37,8,0.15,1976.50,968.49
SO - 0001983,1/4/2019,WARE-NMK1003,2,161,19,19,28,1,0.15,3537.60,3006.96
SO - 0001984,1/4/2019,WARE-NMK1003,2,134,14,32,21,8,0.05,2405.30,1803.98
SO - 0001985,1/4/2019,WARE-UHY1004,2,234,20,43,47,4,0.05,3075.30,2490.99
SO - 0001986,1/4/2019,WARE-UHY1004,3,222,21,29,15,2,0.075,221.10,108.34
SO - 0001987,1/4/2019,WARE-NMK1003,2,195,20,49,42,3,0.05,891.10,632.68
SO - 0001988,1/4/2019,WARE-UHY1004,3,255,21,49,12,2,0.075,1226.10,944.10
SO - 0001989,1/5/2019,WARE-XYS1001,1,24,4,28,41,4,0.075,5721.80,4176.91
SO - 0001990,1/5/2019,WARE-NMK1003,1,115,4,23,3,7,0.05,3202.60,1473.20
SO - 0001991,1/5/2019,WARE-UHY1004,2,247,14,31,30,5,0.1,1721.90,1394.74
SO - 0001992,1/5/2019,WARE-PUJ1005,2,268,20,32,7,4,0.4,897.80,493.79
SO - 0001993,1/5/2019,WARE-PUJ1005,2,305,19,12,41,8,0.075,1051.90,736.33
SO - 0001994,1/5/2019,WARE-UHY1004,2,235,18,43,7,6,0.05,904.50,397.98
SO - 0001995,1/5/2019,WARE-XYS1001,4,24,26,19,20,8,0.15,2673.30,1202.99
SO - 0001996,1/5/2019,WARE-UHY1004,2,246,20,28,5,8,0.05,1065.30,745.71
SO - 0001997,1/5/2019,WARE-MKL1006,1,335,3,1,24,4,0.075,2010.00,864.30
SO - 0001998,1/5/2019,WARE-MKL1006,1,355,11,8,3,7,0.075,850.90,706.25
SO - 0001999,1/6/2019,WARE-UHY1004,1,234,1,41,22,8,0.075,2465.60,1676.61
SO - 0002000,1/6/2019,WARE-NMK1003,2,200,18,23,39,1,0.05,3872.60,2284.83
SO - 0002001,1/6/2019,WARE-PUJ1005,2,279,15,40,42,1,0.05,254.60,145.12
SO - 0002002,1/6/2019,WARE-NMK1003,2,88,13,24,26,7,0.05,3182.50,2004.98
SO - 0002003,1/6/2019,WARE-UHY1004,3,224,20,4,16,1,0.075,1112.20,745.17
SO - 0002004,1/6/2019,WARE-NMK1003,1,184,2,12,15,3,0.15,917.90,596.64
SO - 0002005,1/6/2019,WARE-NMK1003,1,189,7,2,15,1,0.05,1922.90,846.08
SO - 0002006,1/7/2019,WARE-NMK1003,3,133,24,14,35,5,0.05,1996.60,1078.16
SO - 0002007,1/7/2019,WARE-NMK1003,2,123,13,19,27,7,0.05,3966.40,2379.84
SO - 0002008,1/7/2019,WARE-NMK1003,2,110,12,27,26,5,0.05,783.90,470.34
SO - 0002009,1/7/2019,WARE-NMK1003,2,163,13,42,12,6,0.075,830.80,440.32
SO - 0002010,1/7/2019,WARE-PUJ1005,1,308,5,4,18,6,0.05,1045.20,543.50
SO - 0002011,1/7/2019,WARE-NMK1003,2,134,17,35,33,1,0.1,1025.10,512.55
SO - 0002012,1/7/2019,WARE-XYS1001,3,35,24,35,18,2,0.075,5319.80,3298.28
SO - 0002013,1/7/2019,WARE-UHY1004,4,241,26,13,17,4,0.075,897.80,430.94
SO - 0002014,1/7/2019,WARE-UHY1004,1,242,1,24,20,5,0.2,1969.80,1477.35
SO - 0002015,1/7/2019,WARE-PUJ1005,2,289,20,39,27,1,0.075,1112.20,678.44
SO - 0002016,1/7/2019,WARE-NMK1003,3,162,21,42,38,6,0.2,1045.20,752.54
SO - 0002017,1/8/2019,WARE-XYS1001,1,18,2,45,1,4,0.075,1031.80,412.72
SO - 0002018,1/8/2019,WARE-NMK1003,1,164,12,23,45,5,0.4,2365.10,1087.95
SO - 0002019,1/8/2019,WARE-PUJ1005,1,291,4,13,43,3,0.1,234.50,105.53
SO - 0002020,1/8/2019,WARE-UHY1004,4,207,26,18,19,8,0.1,2572.80,1852.42
SO - 0002021,1/8/2019,WARE-NMK1003,1,186,4,39,38,5,0.05,174.20,87.10
SO - 0002022,1/8/2019,WARE-PUJ1005,1,310,11,43,7,1,0.1,1105.50,464.31
SO - 0002023,1/8/2019,WARE-NMK1003,1,191,2,9,43,4,0.075,3832.40,3180.89
SO - 0002024,1/8/2019,WARE-PUJ1005,1,319,4,21,46,2,0.075,3939.60,3230.47
SO - 0002025,1/8/2019,WARE-NMK1003,4,137,26,16,26,4,0.1,1085.40,868.32
SO - 0002026,1/8/2019,WARE-XYS1001,4,57,28,9,30,7,0.05,2619.70,1571.82
SO - 0002027,1/8/2019,WARE-XYS1001,2,44,13,33,19,7,0.05,3383.50,2672.97
SO - 0002028,1/8/2019,WARE-PUJ1005,1,263,11,1,30,8,0.05,817.40,335.13
SO - 0002029,1/8/2019,WARE-XYS1001,1,47,5,38,17,2,0.1,1078.70,550.14
SO - 0002030,1/9/2019,WARE-NBV1002,2,86,18,26,9,3,0.2,6204.20,4280.90
SO - 0002031,1/9/2019,WARE-XYS1001,2,33,17,43,5,6,0.05,5299.70,4186.76
SO - 0002032,1/9/2019,WARE-NMK1003,3,159,24,47,39,5,0.075,201.00,142.71
SO - 0002033,1/9/2019,WARE-NMK1003,1,133,2,34,3,6,0.075,3396.90,2377.83
SO - 0002034,1/9/2019,WARE-UHY1004,1,232,10,48,16,6,0.1,1065.30,681.79
SO - 0002035,1/9/2019,WARE-PUJ1005,3,310,21,10,3,5,0.075,3973.10,3257.94
SO - 0002036,1/9/2019,WARE-UHY1004,1,211,1,14,46,8,0.05,1983.20,1170.09
SO - 0002037,1/9/2019,WARE-MKL1006,4,356,27,43,40,2,0.4,1929.60,1466.50
SO - 0002038,1/9/2019,WARE-MKL1006,2,359,15,49,30,3,0.15,891.10,481.19
SO - 0002039,1/10/2019,WARE-UHY1004,3,205,24,38,23,7,0.2,3999.90,2239.94
SO - 0002040,1/10/2019,WARE-NMK1003,1,162,1,4,1,4,0.3,1809.00,1519.56
SO - 0002041,1/10/2019,WARE-UHY1004,2,221,13,17,6,5,0.075,3430.40,2744.32
SO - 0002042,1/10/2019,WARE-UHY1004,4,229,28,12,43,5,0.05,2519.20,1259.60
SO - 0002043,1/10/2019,WARE-NBV1002,3,83,24,2,33,1,0.075,1011.70,536.20
SO - 0002044,1/10/2019,WARE-PUJ1005,1,313,1,5,22,7,0.05,214.40,135.07
SO - 0002045,1/10/2019,WARE-NMK1003,2,138,17,38,31,1,0.2,2324.90,1464.69
SO - 0002046,1/10/2019,WARE-NMK1003,1,200,3,34,39,7,0.075,2552.70,1761.36
SO - 0002047,1/10/2019,WARE-XYS1001,1,2,1,46,24,3,0.05,1775.50,994.28
SO - 0002048,1/10/2019,WARE-XYS1001,1,55,10,7,27,3,0.075,3906.10,2695.21
SO - 0002049,1/10/2019,WARE-PUJ1005,2,300,15,46,2,4,0.1,2860.90,1687.93
SO - 0002050,1/10/2019,WARE-NMK1003,1,168,5,34,37,3,0.05,931.30,540.15
SO - 0002051,1/10/2019,WARE-PUJ1005,2,290,17,40,28,7,0.075,1072.00,846.88
SO - 0002052,1/10/2019,WARE-NMK1003,1,174,8,13,37,4,0.15,241.20,101.30
SO - 0002053,1/11/2019,WARE-XYS1001,4,29,28,32,12,4,0.05,3691.70,2584.19
SO - 0002054,1/11/2019,WARE-NBV1002,1,87,10,30,42,3,0.05,857.60,497.41
SO - 0002055,1/11/2019,WARE-XYS1001,2,11,20,4,17,2,0.1,1185.90,960.58
SO - 0002056,1/11/2019,WARE-NMK1003,2,99,15,25,21,6,0.1,5701.70,4789.43
SO - 0002057,1/11/2019,WARE-NMK1003,2,137,18,40,26,8,0.05,3919.50,1567.80
SO - 0002058,1/11/2019,WARE-NMK1003,1,196,8,30,18,2,0.05,1051.90,620.62
SO - 0002059,1/11/2019,WARE-PUJ1005,2,303,13,45,45,8,0.05,1018.40,407.36
SO - 0002060,1/11/2019,WARE-XYS1001,3,24,24,41,36,4,0.075,1212.70,715.49
SO - 0002061,1/11/2019,WARE-UHY1004,1,257,4,35,32,7,0.05,3075.30,1998.95
SO - 0002062,1/11/2019,WARE-UHY1004,2,251,17,29,8,6,0.2,5587.80,2682.14
SO - 0002063,1/11/2019,WARE-NMK1003,1,89,10,4,22,3,0.2,1125.60,855.46
SO - 0002064,1/12/2019,WARE-NMK1003,3,172,22,6,45,1,0.05,6083.60,2737.62
SO - 0002065,1/12/2019,WARE-PUJ1005,2,285,19,31,8,4,0.1,964.80,665.71
SO - 0002066,1/12/2019,WARE-PUJ1005,1,307,6,27,30,2,0.075,187.60,133.20
SO - 0002067,1/12/2019,WARE-PUJ1005,4,328,27,12,23,3,0.15,703.50,295.47
SO - 0002068,1/12/2019,WARE-NMK1003,3,166,21,37,39,8,0.05,3832.40,1877.88
SO - 0002069,1/12/2019,WARE-NMK1003,3,94,23,34,2,4,0.1,5661.50,2321.22
SO - 0002070,1/12/2019,WARE-NMK1003,1,127,3,50,37,7,0.2,207.70,159.93
SO - 0002071,1/12/2019,WARE-PUJ1005,3,283,21,20,41,5,0.2,3892.70,3308.80
SO - 0002072,1/12/2019,WARE-PUJ1005,1,316,11,1,16,7,0.05,2519.20,1713.06
SO - 0002073,1/12/2019,WARE-NBV1002,1,64,11,41,33,2,0.075,2921.20,1460.60
SO - 0002074,1/13/2019,WARE-NMK1003,1,154,5,39,24,7,0.05,5594.50,2517.53
SO - 0002075,1/13/2019,WARE-NMK1003,1,116,6,27,37,6,0.15,991.60,743.70
SO - 0002076,1/13/2019,WARE-NBV1002,1,63,3,13,29,7,0.05,891.10,570.30
SO - 0002077,1/13/2019,WARE-UHY1004,4,240,26,14,3,4,0.05,5427.00,2442.15
SO - 0002078,1/13/2019,WARE-XYS1001,2,1,15,5,8,1,0.2,3999.90,3279.92
SO - 0002079,1/14/2019,WARE-PUJ1005,1,278,11,34,43,7,0.075,1065.30,522.00
SO - 0002080,1/14/2019,WARE-NMK1003,1,190,1,41,8,2,0.4,174.20,142.84
SO - 0002081,1/14/2019,WARE-PUJ1005,1,313,1,3,42,8,0.2,3819.00,3131.58
SO - 0002082,1/14/2019,WARE-MKL1006,4,339,26,38,22,1,0.05,1058.60,730.43
SO - 0002083,1/14/2019,WARE-UHY1004,1,249,11,48,46,4,0.4,3242.80,2594.24
SO - 0002084,1/15/2019,WARE-MKL1006,3,350,25,24,16,8,0.075,6445.40,4705.14
SO - 0002085,1/15/2019,WARE-NBV1002,1,67,6,40,24,1,0.15,1085.40,586.12
SO - 0002086,1/15/2019,WARE-NMK1003,1,101,12,33,22,2,0.05,3571.10,1999.82
SO - 0002087,1/15/2019,WARE-PUJ1005,1,316,7,10,27,8,0.2,2398.60,1319.23
SO - 0002088,1/15/2019,WARE-MKL1006,2,355,15,8,45,5,0.05,1299.80,1026.84
SO - 0002089,1/15/2019,WARE-PUJ1005,3,273,23,41,32,6,0.05,877.70,658.28
SO - 0002090,1/15/2019,WARE-XYS1001,1,23,10,32,47,7,0.2,1018.40,712.88
SO - 0002091,1/15/2019,WARE-NMK1003,1,124,7,26,4,7,0.1,3584.50,2365.77
SO - 0002092,1/15/2019,WARE-NMK1003,1,88,9,39,18,4,0.05,991.60,743.70
SO - 0002093,1/15/2019,WARE-XYS1001,2,13,13,24,35,1,0.15,6391.80,3323.74
SO - 0002094,1/16/2019,WARE-XYS1001,2,36,18,19,6,1,0.05,871.00,644.54
SO - 0002095,1/16/2019,WARE-PUJ1005,1,277,2,18,2,7,0.075,1112.20,923.13
SO - 0002096,1/16/2019,WARE-UHY1004,1,249,4,17,29,1,0.15,1835.80,844.47
SO - 0002097,1/16/2019,WARE-MKL1006,1,334,11,39,44,8,0.075,201.00,90.45
SO - 0002098,1/16/2019,WARE-XYS1001,1,48,1,38,5,1,0.1,5038.40,3526.88
SO - 0002099,1/17/2019,WARE-MKL1006,2,336,18,32,28,8,0.1,1098.80,933.98
SO - 0002100,1/17/2019,WARE-UHY1004,1,246,9,21,37,3,0.075,2271.30,1703.48
SO - 0002101,1/17/2019,WARE-PUJ1005,1,287,8,5,8,6,0.05,1313.20,617.20
SO - 0002102,1/17/2019,WARE-NMK1003,1,91,1,19,17,4,0.05,971.50,388.60
SO - 0002103,1/17/2019,WARE-UHY1004,3,231,25,11,13,4,0.075,1829.10,1444.99
SO - 0002104,1/17/2019,WARE-UHY1004,1,217,4,35,42,2,0.1,1735.30,1370.89
SO - 0002105,1/17/2019,WARE-XYS1001,1,25,9,21,38,8,0.3,3932.90,1769.81
SO - 0002106,1/17/2019,WARE-NMK1003,2,184,19,11,38,8,0.4,2653.20,1804.18
SO - 0002107,1/17/2019,WARE-PUJ1005,4,290,28,31,46,4,0.1,1882.70,1355.54
SO - 0002108,1/17/2019,WARE-UHY1004,1,215,6,48,33,4,0.05,3932.90,2359.74
SO - 0002109,1/17/2019,WARE-PUJ1005,1,329,12,24,40,4,0.075,3912.80,2034.66
SO - 0002110,1/18/2019,WARE-PUJ1005,3,300,23,38,27,5,0.15,978.20,743.43
SO - 0002111,1/18/2019,WARE-UHY1004,2,254,18,48,15,6,0.1,1842.50,1197.63
SO - 0002112,1/18/2019,WARE-UHY1004,1,213,12,7,46,7,0.4,254.60,104.39
SO - 0002113,1/18/2019,WARE-XYS1001,2,23,20,25,14,1,0.075,1065.30,575.26
SO - 0002114,1/18/2019,WARE-XYS1001,2,44,16,12,31,5,0.3,3510.80,2211.80
SO - 0002115,1/18/2019,WARE-UHY1004,3,227,22,9,5,7,0.075,5701.70,2907.87
SO - 0002116,1/18/2019,WARE-NMK1003,4,198,27,39,44,3,0.15,3390.20,2373.14
SO - 0002117,1/19/2019,WARE-NBV1002,1,85,10,46,40,1,0.1,2298.10,1401.84
SO - 0002118,1/19/2019,WARE-PUJ1005,1,270,1,6,3,6,0.2,3959.70,1663.07
SO - 0002119,1/19/2019,WARE-UHY1004,2,243,14,22,2,6,0.075,2318.20,1715.47
SO - 0002120,1/19/2019,WARE-MKL1006,3,362,21,33,44,2,0.2,201.00,82.41
SO - 0002121,1/19/2019,WARE-NMK1003,2,142,15,26,33,3,0.1,2827.40,2403.29
SO - 0002122,1/19/2019,WARE-XYS1001,1,7,6,42,8,2,0.1,884.40,689.83
SO - 0002123,1/19/2019,WARE-PUJ1005,1,299,2,45,39,4,0.1,3966.40,2697.15
SO - 0002124,1/20/2019,WARE-PUJ1005,3,285,24,32,20,8,0.05,3899.40,3314.49
SO - 0002125,1/20/2019,WARE-NMK1003,2,197,20,38,39,1,0.05,770.50,547.06
SO - 0002126,1/20/2019,WARE-NMK1003,1,94,6,46,13,8,0.05,1038.50,633.49
SO - 0002127,1/20/2019,WARE-NMK1003,2,102,15,31,20,3,0.4,837.50,661.63
SO - 0002128,1/20/2019,WARE-XYS1001,2,36,14,43,9,3,0.075,6545.90,3076.57
SO - 0002129,1/20/2019,WARE-UHY1004,1,246,7,14,9,3,0.1,254.60,198.59
SO - 0002130,1/20/2019,WARE-PUJ1005,2,294,20,7,20,2,0.4,174.20,78.39
SO - 0002131,1/20/2019,WARE-XYS1001,1,22,2,39,22,3,0.1,1025.10,768.83
SO - 0002132,1/20/2019,WARE-PUJ1005,4,277,26,3,36,2,0.05,1775.50,727.96
SO - 0002133,1/20/2019,WARE-MKL1006,4,350,26,41,25,8,0.4,3390.20,2000.22
SO - 0002134,1/20/2019,WARE-NMK1003,2,170,19,7,23,3,0.05,234.50,93.80
SO - 0002135,1/20/2019,WARE-PUJ1005,1,291,3,6,9,5,0.05,2385.20,1454.97
SO - 0002136,1/20/2019,WARE-UHY1004,4,242,28,18,5,2,0.05,1038.50,446.56
SO - 0002137,1/20/2019,WARE-NBV1002,1,68,8,14,10,1,0.075,2492.40,1395.74
SO - 0002138,1/20/2019,WARE-XYS1001,1,56,9,3,24,8,0.15,1045.20,595.76
SO - 0002139,1/20/2019,WARE-PUJ1005,2,296,12,34,14,2,0.4,6177.40,2779.83
SO - 0002140,1/20/2019,WARE-UHY1004,2,230,14,47,31,6,0.05,2639.80,1214.31
SO - 0002141,1/20/2019,WARE-NMK1003,2,187,16,50,15,8,0.15,2532.60,1316.95
SO - 0002142,1/20/2019,WARE-PUJ1005,1,281,7,35,11,5,0.1,1165.80,687.82
SO - 0002143,1/21/2019,WARE-NMK1003,2,173,13,35,13,3,0.4,3959.70,3207.36
SO - 0002144,1/21/2019,WARE-NMK1003,1,134,5,20,20,7,0.075,1125.60,619.08
SO - 0002145,1/21/2019,WARE-NMK1003,2,128,14,19,4,5,0.075,2331.60,1282.38
SO - 0002146,1/21/2019,WARE-NMK1003,4,123,27,33,47,7,0.1,1896.10,1346.23
SO - 0002147,1/21/2019,WARE-PUJ1005,1,280,1,43,46,6,0.1,3953.00,3320.52
SO - 0002148,1/21/2019,WARE-PUJ1005,2,278,18,49,23,6,0.05,857.60,634.62
SO - 0002149,1/22/2019,WARE-UHY1004,4,230,25,33,26,4,0.1,5641.40,3272.01
SO - 0002150,1/22/2019,WARE-NMK1003,2,148,16,48,37,1,0.05,2217.70,1552.39
SO - 0002151,1/22/2019,WARE-XYS1001,1,36,4,37,14,7,0.2,1855.90,1317.69
SO - 0002152,1/22/2019,WARE-NMK1003,3,134,25,15,35,2,0.075,1976.50,1581.20
SO - 0002153,1/22/2019,WARE-NBV1002,3,76,21,5,20,2,0.1,1065.30,628.53
SO - 0002154,1/23/2019,WARE-UHY1004,2,252,19,36,25,3,0.05,3872.60,2594.64
SO - 0002155,1/23/2019,WARE-NMK1003,1,150,7,24,10,2,0.05,3886.00,1826.42
SO - 0002156,1/23/2019,WARE-NBV1002,2,75,19,10,36,8,0.05,268.00,222.44
SO - 0002157,1/23/2019,WARE-UHY1004,1,225,12,9,11,4,0.05,214.40,92.19
SO - 0002158,1/23/2019,WARE-MKL1006,2,346,19,12,34,5,0.075,676.70,433.09
SO - 0002159,1/23/2019,WARE-NMK1003,2,174,14,39,4,1,0.05,1005.00,412.05
